💝 iptv福建移动频道,#genre#
福建综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227149/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173248%2Cfmgott_1000010000000000000990017%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHhhZBOfSEMTExaCJ6Ndt2WwmFaosk_r1AOHjazOa9yQwBFB73IlVG6RQhk1u1kbncJazINUtNIVnOsy2J-K684ESBc01vK69n7X4tH4xxmiWUz4eTei48OLAiWdjq00kMa5jEK4axUSh0NHSESMHagBaGxvf04uB7C25FCNbruP7jHBnmUENspwd5Qix994KA-uTtwgkDLiJ5gWrBYgUd_nnnoKcRP0jDgxbtAAAA
东南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227156/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173251%2Cfmgott_1000010000000000000990001%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHoDHWesjJUigUW9D2WtZkTcVobKJC_74qHnpaZnlvmNGBxMtJHCDiLOEpJEnIVRwdFat5nKSB5JWqeEo8fnIrGJFgTNPr3KpVexbZKwwZjQPK1sNIuRaeDWgRbGw-dRW6PSxigW5uJArlazqDp6C1Qw1jY3t6N_B9OLMjBMt9XD8ZQ8Y1lODb5UHe4DPbDeBQXa3eOFGD8UgGkC1ozKHDP-_m1DLiB236YkbtAAAA
福建公共,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227153/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173254%2Cfmgott_1000010000000000000990018%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHkFhFPeTUUigUW9D2WtZkk4rR2ESF_n1VPPS0zPLeMKMHiZeTkIdYc5lmCY_rmOs8z2KpOctYlmqsFSMBP4UTEZFgbdObwqlVe5bHF-cRTRiN1hORai08WzCCbWwxdTX6PSxiiX5uJAoVNJ0hUDDGo4GxcT29W_g-vN0RgtU-rp-sJeMaKgjt8iBvCEfXDeBRXZ3ZOKHBBiQDyBYMFtDhn3fzahnxA4q7LULtAAAA
福建新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173256%2Cfmgott_1000010000000000000990019%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHoLG1zSEnRRCkClavMibbWJo2NamCf28rPXhaZnlvmCFA036rcpnotVxlJjFIIFIpK1lBr2SeYp2lOYv0LLwSTMO5urOFN5N2PW9uy6Xg6YKL6QhWToU7B6sWP7Z4tXcKcxjFM4V3rUmZWPE3Ioe1gSyG2nf85PC5BDcjjMp5XPdyjg1TKBGb8cEeiBvf9ghkDt7-OFXBRWI9dANLBVr6847BjCO-nQj9ue0AAAA
福建电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173258%2Cfmgott_1000010000000000000990020%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwYrCMBRF_ybL0EatySIrZWBgqEKrW7lNXjPFtNGkFebvp5UuXD3u45zLHSMMfR-1NJtmZ_Nio6TcoijU3hSqyZSEUG0GyRI9y6AFM_C-G1wZ7KJdq8MtzwXfZVwsR7B6KfzycDp7s-XUNxTXMIsVxVdnSNvU8hcSh3ORHMYuDPzs8XeJfkUY1eu4YfKejUuoke7zg_0iHUL_QCT7E9yb0y18IvaAucNRiZ4-vFO084h_NLDnGe0AAAA
福建旅游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227190/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173301%2Cfmgott_1000010000000000000990021%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkMbWmkNOiiBIFKxeZZNsY2na1KQK_r2t9OBpmeW9YcYIBg87mZsVilqzQgvMc820yEtrBGe8hFJs1iThUwXJiQHvm96pYGftdtnes4zTglE-H06quXDvwUn2Y9Wr0xiXMIkXjO_GoLSppm9IFJyL6GBsQk_PHj7X6BeEYLWM61_ek3EOFaR2epAHpG3oBohoj8H9OFmDT0gGMC04VNDhn3eKdhrxBRrLcu_tAAAA
福建经济,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227184/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173303%2Cfmgott_1000010000000000000990022%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHUKOteshJEQSpgtWrjJtNLKaNJlXw722lB0_LLO8N00UQb9ea7WJKNs8VIZtNQUs7K2iuTF4UCormIvGzDFoJgvd168pgBu18XF0mEyXzTKrhKFENhRsPp7MfW76aK8cx9OKR47sm1iZZ-UaScC6yQ1eHVh48PqfoR0RwNY5rX96LbggV0r1_iBvSKjQPRDa74H6ctvCJxQN0h-MSDf95-2j6EV8BP4cS7QAAAA
福建文体,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227188/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173306%2Cfmgott_1000010000000000000990023%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OywqDMBBF_ybLEOOjusiqpVAotqDttoxmkorR2ESF_n1VXHQ13OGcyx0d1Hg5CRYmiUorjHgcRmmgKoUszaKsOkQxSiaJx09uBSc1GNP0Ordy1Z7F8RUEnMaM8vVwUq6FZwNasI3Np65Ct4dFLNDNTY1CekVn8BS0dqhhbGxP7wa-D2d2hGC5j-snY8i4hhJ8uzzIG_zRdgM4lFerN04oMB7JAHULGnPo8M-7ObmM-AET4cxQ7QAAAA
福建少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227194/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173308%2Cfmgott_1000010000000000000990024%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHEGPU9JCTpVAotqDttWx1TcVobKJC_74qHnpaZnlvmNFBieejCtlBCiEFE2EseMSlTBKII5GwSIZBHRKPn8wqTkowpul1ZqtVe-TpMwg4jRjl6-GkWAtPBrRiG5tN3QvdHhYxRzc3JarK13QGT0FrhxrGxvb0ZuB7d2ZHCBb7uH4yhoxrKMC3y4O8wae2G8BhdbF641QNxiMZoGxBYwYd_nlXVy0jfqTJj1btAAAA
海峡卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227198/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173310%2Cfmgott_1000010000000000000990025%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHEKOiHnKyFArFFrS9ljVZUzEam6jQv6-Kh56WWd4bZnIg8XIStWQZMEzCNFZRiFmaYK2iNONpxDFhknj8FFZwIsGYdtCFVZv2LPNXEHAaM8q3w0m1FZ4NaMF2tpj7Gt0RVrFEt7QShfINXcBT0Nqhhqm1A70b-D6cORCC1TFumI0h0xYq8N36IG_wue1HcKiuVu-caMB4JCPIDjQW0OOfd3NqHfEDtojmNu0AAAA
